"REF_DATE","GEO","DGUID","Destination of electronic orders","Number and value of electronic orders","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Canada","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499483","1.1.1","49424.7","","","","1"
"2005","Canada","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499484","1.1.2","7.2","","","","1"
"2005","Canada","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499485","1.1.3","7924407.1","","","","1"
"2005","Canada","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499486","1.1.4","1150.4","","","","1"
"2005","Canada","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499487","1.2.1","28301.9","","","","1"
"2005","Canada","","Electronic orders to companies in Canada","Average number of orders","Number","223","units ","0","v41499488","1.2.2","4.1","","r","","1"
"2005","Canada","","Electronic orders to companies in Canada","Value of orders","Dollars","81","thousands","3","v41499489","1.2.3","4970490.0","","","","1"
"2005","Canada","","Electronic orders to companies in Canada","Average value of orders per person","Dollars","81","units ","0","v41499490","1.2.4","721.6","","r","","1"
"2005","Canada","","Electronic orders to companies in other countries","Number of orders","Number","223","thousands","3","v41499491","1.3.1","21122.8","","","","1"
"2005","Canada","","Electronic orders to companies in other countries","Average number of orders","Number","223","units ","0","v41499492","1.3.2","3.1","","","","1"
"2005","Canada","","Electronic orders to companies in other countries","Value of orders","Dollars","81","thousands","3","v41499493","1.3.3","2953917.1","","","","1"
"2005","Canada","","Electronic orders to companies in other countries","Average value of orders per person","Dollars","81","units ","0","v41499494","1.3.4","428.8","","","","1"
"2005","Atlantic provinces","","Electronic orders to companies in Canada and in other countries","Number of orders","Number","223","thousands","3","v41499495","2.1.1","3332.1","","","","1"
"2005","Atlantic provinces","","Electronic orders to companies in Canada and in other countries","Average number of orders","Number","223","units ","0","v41499496","2.1.2","7.5","","","","1"
"2005","Atlantic provinces","","Electronic orders to companies in Canada and in other countries","Value of orders","Dollars","81","thousands","3","v41499497","2.1.3","488736.9","","","","1"
"2005","Atlantic provinces","","Electronic orders to companies in Canada and in other countries","Average value of orders per person","Dollars","81","units ","0","v41499498","2.1.4","1107.1","","","","1"
"2005","Atlantic provinces","","Electronic orders to companies in Canada","Number of orders","Number","223","thousands","3","v41499499","2.2.1","2164.0","","","","1"
